iz,iK,iS,z,K,S,V,HR,IK,Sprime,constrained
   1,   4,  25,  2.524620E-01,  6.424457E-02,  3.714507E-01,  0.000000E+00,  0.000000E+00,  5.689655E-02,  3.157331E-01,1
   1,   4,  26,  2.524620E-01,  6.424457E-02,  4.038221E-01,  0.000000E+00,  0.000000E+00,  1.086207E-01,  3.432487E-01,1
   1,   4,  27,  2.524620E-01,  6.424457E-02,  4.390145E-01,           NaN,  8.259481E-05,  5.172414E-03,  3.734161E-01,0
   1,   4,  28,  2.524620E-01,  6.424457E-02,  4.772738E-01,           NaN,  8.259481E-05,  5.172414E-03,  4.059365E-01,0
   1,   4,  29,  2.524620E-01,  6.424457E-02,  5.188675E-01,           NaN,  0.000000E+00,  5.172414E-03,  4.410373E-01,0
   1,   4,  30,  2.524620E-01,  6.424457E-02,  5.640859E-01,           NaN,  0.000000E+00,  5.172414E-03,  4.794730E-01,0
   1,   4,  31,  2.524620E-01,  6.424457E-02,  6.132450E-01,           NaN,  8.259481E-05,  5.172414E-03,  5.215120E-01,0
   1,   4,  32,  2.524620E-01,  6.424457E-02,  6.666883E-01,           NaN,  0.000000E+00,  5.172414E-03,  5.666851E-01,0
   1,   4,  33,  2.524620E-01,  6.424457E-02,  7.247891E-01,  0.000000E+00,  0.000000E+00,  0.000000E+00,  6.160707E-01,1
   1,   4,  34,  2.524620E-01,  6.424457E-02,  7.879532E-01,  0.000000E+00,  0.000000E+00,  0.000000E+00,  6.697602E-01,1
   1,   4,  35,  2.524620E-01,  6.424457E-02,  8.566220E-01,  0.000000E+00,  0.000000E+00,  0.000000E+00,  7.281287E-01,1
   1,   4,  36,  2.524620E-01,  6.424457E-02,  9.312752E-01,  0.000000E+00,  0.000000E+00,  0.000000E+00,  7.915839E-01,1
   1,   4,  37,  2.524620E-01,  6.424457E-02,  1.012434E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  8.605691E-01,1
   1,   4,  38,  2.524620E-01,  6.424457E-02,  1.100666E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  9.355663E-01,1
